name,model,size,link
404023/8'' x 3-1/4'',40402,3/8'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=40402
900945/8'' x 4'',90094,5/8'' x 4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90094
900955/8'' x 5'',90095,5/8'' x 5'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90095
902051/2'' x 3-7/8'',90205,1/2'' x 3-7/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90205
903473/4'' x 7'',90347,3/4'' x 7'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90347
903491/2'' x 5'',90349,1/2'' x 5'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90349
903501-3/16'' x 5-1/4'',90350,1-3/16'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90350
904021/2'' x 3-1/4'',90402,1/2'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90402
904051/2'' x 4'',90405,1/2'' x 4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90405
904125/8'' x 4-1/4'',90412,5/8'' x 4-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90412
904145/8'' x 5-1/4'',90414,5/8'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90414
904221/2'' x 3'',90422,1/2'' x 3'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90422
905455/8'' x 5'',90545,5/8'' x 5'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90545
906181/2'' x 5-1/4'',90618,1/2'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90618
906201/2'' x 4-1/4'',90620,1/2'' x 4-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90620
906231/2'' x 3-1/4'',90623,1/2'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90623
906631/2'' x 4-1/4'',90663,1/2'' x 4-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=90663
926251/2'' x 2-1/4'',92625,1/2'' x 2-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=92625
931403/8'' x 3-1/4'',93140,3/8'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=93140
950001-3/16'' x 3-3/4'',95000,1-3/16'' x 3-3/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=95000
950101-3/16'' x 4-3/16'',95010,1-3/16'' x 4-3/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=95010
989103/8'' x 3-7/8'',98910,3/8'' x 3-7/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=98910
9L3481-1/2'' x 6-1/4'',9L348,1-1/2'' x 6-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=9L348
050201-3/16'' x 5-1/4'',5020,1-3/16'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=05020
006481-3/16'' x 6-1/4'',648,1-3/16'' x 6-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00648
3277S3/8'' x 3/4'',3277S,3/8'' x 3/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=3277S
L13051-1/4'' x 2'',L1305,1-1/4'' x 2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=L1305
CR0037/8'' x 1-5/16'',CR003,7/8'' x 1-5/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=CR003
0M1355/8'' x 3-9/16'',0M135,5/8'' x 3-9/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0M135
000785/8'' x 4'',78,5/8'' x 4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00078
0L1305/8'' x 7-1/4'',0L130,5/8'' x 7-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0L130
CR6883/4'' x 1-3/8'',CR688,3/4'' x 1-3/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=CR688
032903/4'' x 1/2'',3290,3/4'' x 1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03290
001017/16'' x 11/16'',101,7/16'' x 11/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00101
042111-1/16'' x 4-1/2'',4211,1-1/16'' x 4-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=04211
051271/2'' x 3-1/8'',5127,1/2'' x 3-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=05127
012401/2'' x 4'',1240,1/2'' x 4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=01240
006581/2'' x 4-1/2'',658,1/2'' x 4-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00658
082431/2'' x 4-1/4'',8243,1/2'' x 4-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=08243
008051/2'' x 5-1/4'',805,1/2'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00805
051281/2'' x 5-1/4'',5128,1/2'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=05128
082345/8'' x 5-1/2'',8234,5/8'' x 5-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=08234
0B2605/8'' x 5-1/2'',0B260,5/8'' x 5-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0B260
024595/8'' x 5-1/4'',2459,5/8'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=02459
L163D5/8'' x 5-1/4'',L163D,5/8'' x 5-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=L163D
L02095/8'' x 5-15/16'',L0209,5/8'' x 5-15/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=L0209
009765/8'' x 6-1/2'',976,5/8'' x 6-1/2'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00976
L163C5/8'' x 7-1/4'',L163C,5/8'' x 7-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=L163C
031127/16'' x 3-1/4'',3112,7/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=03112
0623A7/16'' x 3-1/4'',0623A,7/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=0623A
LP4337/16'' x 3-1/4'',LP433,7/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=LP433
9W6239/16'' x 3-1/4'',9W623,9/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=9W623
WM6209/16'' x 4-1/4'',WM620,9/16'' x 4-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=WM620
043559/16'' x 5-5/8'',4355,9/16'' x 5-5/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=04355
0431211/16'' x 4-7/16'',4312,11/16'' x 4-7/16'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=04312
077061/2'' x 4-1/8'',7706,1/2'' x 4-1/8'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=07706
0030911/16'' x 3-1/4'',309,11/16'' x 3-1/4'',http://www.alexandriamoulding.com/products.php?state=entry&region=Alex%20West%20(USA)&entry=00309
