,Name,Images,Series,Application,Construction,Thickness,Fire Rating,Profiles Options,Other Options
1,LVR1000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/lvr1000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/lvr1000-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/lvr1000-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/lvr1000-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Louver (LVR) Series,Interior,"[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Vented Louver Profile', 'False Louver Profile']",['Wood']
2,LVR2020,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/lvr2020.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/lvr2020-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/lvr2020-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/lvr2020-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Louver (LVR) Series,Interior,"[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Vented Louver Profile', 'False Louver Profile']",['Wood']
3,LVR2060,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/lvr2060.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/lvr2060-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/lvr2060-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/lvr2060-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Louver (LVR) Series,Interior,"[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Vented Louver Profile', 'False Louver Profile']",['Wood']
4,LVR3000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/lvr3000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/lvr3000-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/lvr3000-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/lvr3000-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Louver (LVR) Series,Interior,"[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Vented Louver Profile', 'False Louver Profile']",['Wood']
5,TS1000,,,,,,,,
6,TS2030,,,,,,,,
7,TS2040,,,,,,,,
8,TS2070,,,,,,,,
9,TS2170,,,,,,,,
10,TS2180,,,,,,,,
11,TS2190,,,,,,,,
12,TS2200,,,,,,,,
13,TS2220,,,,,,,,
14,TS3030,,,,,,,,
15,TS3050,,,,,,,,
16,TS3070,,,,,,,,
17,TS3110,,,,,,,,
18,TS3120,,,,,,,,
19,TS3150,,,,,,,,
20,TS3180,,,,,,,,
21,TS3220,,,,,,,,
22,TS3250,,,,,,,,
23,TS4040,,,,,,,,
24,TS4060,,,,,,,,
25,TS4120,,,,,,,,
26,PL100,,,,,,,,
27,PL104,,,,,,,,
28,PL106,,,,,,,,
29,PL109,,,,,,,,
30,PL119,,,,,,,,
31,PL130,,,,,,,,
32,PL132,,,,,,,,
33,PL134,,,,,,,,
34,PL136,,,,,,,,
35,PL143,,,,,,,,
36,PL144,,,,,,,,
37,PL220,,,,,,,,
38,PL224,,,,,,,,
39,PL226,,,,,,,,
40,PL229,,,,,,,,
