Type,URL
Brushed Aluminum,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-brushed-aluminum.jpg?itok=HykxkX77
Brushed Brass,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-brushed-brass.jpg?itok=uG5foHyU
Brushed Bronze,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-brushed-bronze.jpg?itok=9_5fe7v0
Hammered Argenta,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-hammered-argenta.jpg?itok=bYf8yup8
Hammered Cobblestone,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-hammered-cobblestone.jpg?itok=G60gJ6MJ
Hammered Reptilian,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-hammered-reptilian.jpg?itok=XUvFmSEZ
Patina Aurora,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-patina-aurora.jpg?itok=PyTk0fqI
Patina Etruscan,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-patina-etruscan.jpg?itok=bGJDwB9d
Patina Monet,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-patina-monet.jpg?itok=clZ6cYPv
Serpentine,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-serpentine.jpg?itok=QKICSclF
Stamped Diamondback,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-stamped-diamondback.jpg?itok=-vvkTbZu
Stamped Extrovert,http://www.trustile.com/sites/trustile.com/files/styles/gallery_large/public/materials/metal/metal-stamped-extrovert.jpg?itok=Rfg24V4A
