,Name,Images,Series,Application,Construction,Thickness,Fire Rating,Profiles Options,Other Options
1,PL100,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pl100.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/pl100-pair.png', 'type': 'Pair of Doors'}]",Panel Lite (PL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[{'type': u'Sash Options', 'options': ['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Square Stick (SS) Compression Fit', 'Quirk Moulding (QM) Compression Fit', 'Applied Raised Moulding (ARM)']}, {'type': u'Panel Options', 'options': [u'A', u'B', u'C', u'D', u'E', u'F']}, {'type': u'Sticking Options', 'options': ['BV', 'BBM', 'BM', 'CB', 'LP', 'OS', 'QB', 'QR', 'QM', 'OG', 'SS']}]","['Wood', 'Glass']"
2,PL104,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pl104.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/pl104-pair.png', 'type': 'Pair of Doors'}]",Panel Lite (PL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"[{'type': u'Sash Options', 'options': ['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']}, {'type': u'Panel Options', 'options': [u'A', u'B', u'C', u'D', u'E', u'F']}, {'type': u'Sticking Options', 'options': ['BV', 'BBM', 'BM', 'CB', 'LP', 'OS', 'QB', 'QR', 'QM', 'OG', 'SS']}]","['Wood', 'Glass']"
3,PL106,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pl106.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/pl106-pair.png', 'type': 'Pair of Doors'}]",Panel Lite (PL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"[{'type': u'Sash Options', 'options': ['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']}, {'type': u'Panel Options', 'options': [u'A', u'B', u'C', u'D', u'E', u'F']}, {'type': u'Sticking Options', 'options': ['BV', 'BBM', 'BM', 'CB', 'LP', 'OS', 'QB', 'QR', 'QM', 'OG', 'SS']}]","['Wood', 'Glass']"
4,PL109,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pl109.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/pl109-pair.png', 'type': 'Pair of Doors'}]",Panel Lite (PL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"[{'type': u'Sash Options', 'options': ['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']}, {'type': u'Panel Options', 'options': [u'A', u'B', u'C', u'D', u'E', u'F']}, {'type': u'Sticking Options', 'options': ['BV', 'BBM', 'BM', 'CB', 'LP', 'OS', 'QB', 'QR', 'QM', 'OG', 'SS']}]","['Wood', 'Glass']"
5,PL119,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pl119.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/pl119-pair.png', 'type': 'Pair of Doors'}]",Panel Lite (PL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"[{'type': u'Sash Options', 'options': ['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']}, {'type': u'Panel Options', 'options': [u'A', u'B', u'C', u'D', u'E', u'F']}, {'type': u'Sticking Options', 'options': ['BV', 'BBM', 'BM', 'CB', 'LP', 'OS', 'QB', 'QR', 'QM', 'OG', 'SS']}]","['Wood', 'Glass']"
6,PL130,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pl130.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/pl130-pair.png', 'type': 'Pair of Doors'}]",Panel Lite (PL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[{'type': u'Sash Options', 'options': ['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Square Stick (SS) Compression Fit', 'Quirk Moulding (QM) Compression Fit', 'Applied Raised Moulding (ARM)']}, {'type': u'Panel Options', 'options': [u'A', u'B', u'C', u'D', u'E', u'F']}, {'type': u'Sticking Options', 'options': ['BV', 'BBM', 'BM', 'CB', 'LP', 'OS', 'QB', 'QR', 'QM', 'OG', 'SS']}]","['Wood', 'Glass']"
7,PL132,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pl132.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/pl132-pair.png', 'type': 'Pair of Doors'}]",Panel Lite (PL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"[{'type': u'Sash Options', 'options': ['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']}, {'type': u'Panel Options', 'options': [u'A', u'B', u'C', u'D', u'E', u'F']}, {'type': u'Sticking Options', 'options': ['BV', 'BBM', 'BM', 'CB', 'LP', 'OS', 'QB', 'QR', 'QM', 'OG', 'SS']}]","['Wood', 'Glass']"
8,PL134,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pl134.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/pl134-pair.png', 'type': 'Pair of Doors'}]",Panel Lite (PL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"[{'type': u'Sash Options', 'options': ['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']}, {'type': u'Panel Options', 'options': [u'A', u'B', u'C', u'D', u'E', u'F']}, {'type': u'Sticking Options', 'options': ['BV', 'BBM', 'BM', 'CB', 'LP', 'OS', 'QB', 'QR', 'QM', 'OG', 'SS']}]","['Wood', 'Glass']"
9,PL136,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pl136.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/pl136-pair.png', 'type': 'Pair of Doors'}]",Panel Lite (PL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"[{'type': u'Sash Options', 'options': ['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']}, {'type': u'Panel Options', 'options': [u'A', u'B', u'C', u'D', u'E', u'F']}, {'type': u'Sticking Options', 'options': ['BV', 'BBM', 'BM', 'CB', 'LP', 'OS', 'QB', 'QR', 'QM', 'OG', 'SS']}]","['Wood', 'Glass']"
10,PL143,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pl143.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/pl143-pair.png', 'type': 'Pair of Doors'}]",Panel Lite (PL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"[{'type': u'Sash Options', 'options': ['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']}, {'type': u'Panel Options', 'options': [u'A', u'B', u'C', u'D', u'E', u'F']}, {'type': u'Sticking Options', 'options': ['BV', 'BBM', 'BM', 'CB', 'LP', 'OS', 'QB', 'QR', 'QM', 'OG', 'SS']}]","['Wood', 'Glass']"
