,Name,Images,Series,Application,Construction,Thickness,Fire Rating,Profiles Options,Other Options
1,FL100,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl100.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl100-pair.png', 'type': 'Pair of Doors'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Square Stick (SS) Compression Fit', 'Quirk Moulding (QM) Compression Fit', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
2,FL101,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl101.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl101-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl101-cap.png', 'type': 'Common Arch Pair'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Square Stick (SS) Compression Fit', 'Quirk Moulding (QM) Compression Fit', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
3,FL102,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl102.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/fl102-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl102-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl102-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/fl102-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Square Stick (SS) Compression Fit', 'Quirk Moulding (QM) Compression Fit', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
4,FL103,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl103.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/fl103-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl103-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl103-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/fl103-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Square Stick (SS) Compression Fit', 'Quirk Moulding (QM) Compression Fit', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
5,FL110,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl110_0.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl110-pair.png', 'type': 'Pair of Doors'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Square Stick (SS) Compression Fit', 'Quirk Moulding (QM) Compression Fit', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
6,FL111,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl111_0.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl111-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl111-cap.png', 'type': 'Common Arch Pair'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Square Stick (SS) Compression Fit', 'Quirk Moulding (QM) Compression Fit', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
7,FL112,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl112.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/fl112-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl112-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl112-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/fl112-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Square Stick (SS) Compression Fit', 'Quirk Moulding (QM) Compression Fit', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
8,FL113,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl113_0.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/fl113-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl113-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/fl113-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/fl113-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Square Stick (SS) Compression Fit', 'Quirk Moulding (QM) Compression Fit', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
9,FL200,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl200.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl200-pair.png', 'type': 'Pair of Doors'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
10,FL210,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/fl210.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/fl210-pair.png', 'type': 'Pair of Doors'}]",French Door (FL) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""",,"['Roman Ogee (OG) Sash', 'Narrow Roman Ogee (OG) Sash', 'Cove & Bead (CB) Sash', 'Quarter Bead (QB) Sash', 'Quarter Round (QR) Sash', 'Bevel (BV) Sash', 'One Step (OS) Sash', 'Square Stick (SS) Sash', 'Applied Raised Moulding (ARM)']","['Wood', 'Glass']"
