,Name,Images,Series,Application,Construction,Thickness,Fire Rating,Profiles Options,Other Options
1,TMB1000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb1000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb1000-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb1000-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb1000-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",['Wood']
2,TMB1010,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb1010.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb1010-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/tmb1010-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb1010-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb1010-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,91","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",['Wood']
3,TMB1030,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb1030.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/tmb1030-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb1030-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/tmb1030-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/tmb1030-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb1030-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb1030-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,92","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
4,TMB1040,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb1040.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/tmb1040-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb1040-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/tmb1040-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/tmb1040-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb1040-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb1040-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,93","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
5,TMB1050,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb1050.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb1050-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb1050-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb1050-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,94","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
6,TMB1070,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb1070.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/tmb1070-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb1070-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/tmb1070-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/tmb1070-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb1070-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb1070-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4""","20,45,60,95","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
7,TMB1080,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb1080.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/tmb1080-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb1080-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/tmb1080-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/tmb1080-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb1080-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb1080-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,96","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",['Wood']
8,TMB1090,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb1090.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb1090-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb1090-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb1090-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,97","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
9,TMB2000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb2000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb2000-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb2000-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb2000-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,98","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",['Wood']
10,TMB2010,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/tmb2010.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/tmb2010-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/tmb2010-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/tmb2010-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/tmb2010-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/tmb2010-bifold2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/tmb2010-bifold4.png', 'type': '4-Leaf Bi-Fold Door'}]",Tambour (TMB) Series,"Interior, Exterior",TruStile MDF,"1-3/8"", 1-3/4"", 2-1/4""","20,45,60,99","['Half-Round Tambour Profile', 'Bevel Tambour Profile']",[]
