,Name,Images,Series,Application,Construction,Thickness,Fire Rating,Sticking,Panel,Options
0,TS1000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts1000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts1000-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts1000-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts1000-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
1,TS1010,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts1010.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts1010-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts1010-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts1010-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts1010-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
2,TS1030,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts1030.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/ts1030-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts1030-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts1030-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/ts1030-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts1030-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts1030-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
3,TS1050,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts1050.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/ts1050-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts1050-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts1050-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/ts1050-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts1050-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts1050-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
4,TS2000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2000-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2000-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2000-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
5,TS2010,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2010.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2010-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts2010-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2010-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2010-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
6,TS2020,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2020.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2020-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2020-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2020-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
7,TS2030,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2030.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/ts2030-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2030-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts2030-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/ts2030-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2030-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2030-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
8,TS2040,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2040.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2040-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts2040-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2040-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2040-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
9,TS2050,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/ts2050.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/ts2050-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/ts2050-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/ts2050-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/ts2050-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold2/ts2050-bf2.png', 'type': '2-Leaf Bi-Fold Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/bifold4/ts2050-bf4.png', 'type': '4-Leaf Bi-Fold Door'}]",TruStile (TS) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","20,45,60,90","[u'OG', u'SS', u'OS', u'BV', u'QB', u'QR', u'CB', u'LP', u'BM', u'BBM', u'QM']","[u'A', u'B', u'C', u'D', u'E', u'F']","['Wood', 'Glass', 'Leather', 'Metal']"
