,Name,Images,Series,Application,Construction,Thickness,Fire Rating,Profiles Options,Other Options
1,VG1000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/vg1000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/vg1000-pair.png', 'type': 'Pair of Doors'}]",V-Groove (VG) Series,"Interior, Exterior",[u'TruStile MDF'],"1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['Standard V-Groove Profile', 'Beaded V-Groove Profile', 'VG1000 Profile']",[]
2,VG1010,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/vg1010.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/vg1010-pair.png', 'type': 'Pair of Doors'}]",V-Groove (VG) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['Standard V-Groove Profile', 'Beaded V-Groove Profile', 'VG1000 Profile']",['Wood']
3,VG1020,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/vg1020.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/vg1020-pair.png', 'type': 'Pair of Doors'}]",V-Groove (VG) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['Standard V-Groove Profile', 'Beaded V-Groove Profile', 'VG1000 Profile']",['Wood']
4,VG1030,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/vg1030.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/vg1030-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/vg1030-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/vg1030-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/vg1030-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}]",V-Groove (VG) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['Standard V-Groove Profile', 'Beaded V-Groove Profile', 'VG1000 Profile']",['Wood']
5,VG1040,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/vg1040.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/rt/vg1040-rt.png', 'type': 'Radius-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/vg1040-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/vg1040-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_rt/vg1040-cap-rt.png', 'type': 'Common Arch Pair with Radius-Top'}]",V-Groove (VG) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['Standard V-Groove Profile', 'Beaded V-Groove Profile', 'VG1000 Profile']",['Wood']
6,VG2000,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/vg2000.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/vg2000-pair.png', 'type': 'Pair of Doors'}]",V-Groove (VG) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['Standard V-Groove Profile', 'Beaded V-Groove Profile', 'VG1000 Profile']",['Wood']
7,VG2010,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/vg2010.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/vg2010-pair.png', 'type': 'Pair of Doors'}]",V-Groove (VG) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['Standard V-Groove Profile', 'Beaded V-Groove Profile', 'VG1000 Profile']",['Wood']
8,VG2020,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/vg2020.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/at/vg2020-at.png', 'type': 'Arch-Top Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/vg2020-pair.png', 'type': 'Pair of Doors'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap/vg2020-cap.png', 'type': 'Common Arch Pair'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/cap_at/vg2020-cap-at.png', 'type': 'Common Arch Pair with Arch-Top'}]",V-Groove (VG) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['Standard V-Groove Profile', 'Beaded V-Groove Profile', 'VG1000 Profile']",['Wood']
9,VG2030,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/vg2030.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/vg2030-pair.png', 'type': 'Pair of Doors'}]",V-Groove (VG) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Wood', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['Standard V-Groove Profile', 'Beaded V-Groove Profile', 'VG1000 Profile']",['Wood']
10,VG2040,"[{'url': 'http://www.trustile.com/sites/trustile.com/files/doors/vg2040.png', 'type': 'Single Door'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/doors/pair/vg2040-pair.png', 'type': 'Pair of Doors'}]",V-Groove (VG) Series,"Interior, Exterior","[u'TruStile MDF', u'TruStile Reserve Wood']","1-3/8"", 1-3/4"", 2-1/4""","[{'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/20-minute_0.png', 'type': '20-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/45-minute_0.png', 'type': '45-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/60-minute_0.png', 'type': '60-Minute'}, {'url': 'http://www.trustile.com/sites/trustile.com/files/sku/fire-rating/90-minute_0.png', 'type': '90-Minute'}]","['Standard V-Groove Profile', 'Beaded V-Groove Profile', 'VG1000 Profile']",['Wood']
